aircraft_model,engines,aircraft_type
B-737-400,2,Airplane
MD-80,2,Airplane
C-500,2,Airplane
CL-RJ100/200,2,Airplane
LEARJET-25,2,Airplane
A-320,2,Airplane
DC-9-30,2,Airplane
A-330,2,Airplane
FOKKER F100,2,Airplane
C-421,2,Airplane
C-560,2,Airplane
B-737-200,2,Airplane
DC-9-50,2,Airplane
B-737,2,Airplane
B-737-300,2,Airplane
SAAB-340,2,Airplane
MD-82,2,Airplane
HAWKER 800,2,Airplane
FOKKER F28 MK 1000,2,Airplane
B-757-200,2,Airplane
EMB-135,2,Airplane
DC-9-40,2,Airplane
B-727-200,3,Airplane
DC-10-30,3,Airplane
DC-9-10,2,Airplane
EMB-145,2,Airplane
B-747-1/200,4,Airplane
B-52H,2,Airplane
DC-9,2,Airplane
B-737-500,2,Airplane
B-737-700,2,Airplane
B-747-400,4,Airplane
BE-58  BARON,2,Airplane
B-767-300,2,Airplane
DC-10,3,Airplane
PA-31 NAVAJO,2,Airplane
B-727,3,Airplane
C-172,1,Airplane
BA-31 JETSTR,2,Airplane
LEARJET-35,2,Airplane
MD-88,2,Airplane
BE-1900,2,Airplane
IAI-1124,2,Airplane
LEARJET-31,2,Airplane
C-402,2,Airplane
SHORTS SC7,2,Airplane
B-737-800,2,Airplane
A-319,2,Airplane
CITATION II,2,Airplane
ATR-72,2,Airplane
DA-20 FALCON,2,Airplane
BE-400 BJET,2,Airplane
DA-2000,2,Airplane
HAWKER-SDLY HS125,2,Airplane
B-767,2,Airplane
HAWKER 1000,2,Airplane
PA-28,1,Airplane
BE-23 SUNDOWNER,1,Airplane
BELL-206,1,
DHC8 DASH 8,2,Airplane
BE-90  KING,2,Airplane
B-767-200,2,Airplane
BA-146,4,Airplane
GULFAERO III,2,Airplane
BE-300 KING,2,Airplane
MU2,2,Airplane
DORNIER,2,Airplane
BE-200 KING,2,Airplane
BA-41 JETSTR,2,Airplane
A-310,2,Airplane
EMB-110,2,Airplane
B-767-400,2,Airplane
DA-10 FALCON,2,Airplane
C-208,1,Airplane
EMB-120,2,Airplane
PA-31T CHEYENNE II,2,Airplane
DA-50 FALCON,3,Airplane
RKWLTRBO 690,2,Airplane
C-17A,,Airplane
DORNIER 328,2,Airplane
LEARJET-60,2,Airplane
AT-38B,,Airplane
B-777-200,2,Airplane
RKWL SABRLNR,2,Airplane
CL-601/604,2,Airplane
T-38A,,Airplane
AVRO RJ 85,4,Airplane
SHORTS 360,2,Airplane
DC-8-70,4,Airplane
PILATUS PC12,1,Airplane
C-21A,,Airplane
CL-600,2,Airplane
DA-900,3,Airplane
MD-83,2,Airplane
LEARJET-45,2,Airplane
GULFAERO IV,2,Airplane
CITATION X,2,Airplane
LOCKHEED C-130,4,Airplane
IAI 1126,2,Airplane
B-717-200,2,Airplane
C-650,2,Airplane
C-210 CENTUR,1,Airplane
SA227 AC METRO III,2,Airplane
RKWL SHRIKE,2,Airplane
PA-30 TWIN COMANCHE,2,Airplane
LOCKHEED 1329,4,Airplane
C-182 SKYLAN,1,Airplane
C-150,1,Airplane
MD-11,3,Airplane
C-152,1,Airplane
