record_id,aircraft_id,airport_id
202152,155,0
208159,216,1
207601,1,2
215953,155,3
219878,9,4
218432,25,5
221697,1,6
236635,1,7
207369,41,8
204371,8,9
201589,1,10
205958,1,11
200220,1,12
200219,81,13
203756,22,14
204061,216,15
202604,17,16
201044,162,17
202254,155,18
205346,81,19
201610,192,11
202454,22,7
201013,155,20
205771,63,21
202226,2,22
204404,235,23
202138,177,24
201983,6,25
200247,235,26
201387,170,27
200542,18,28
202076,41,8
204836,45,0
203390,1,29
203936,63,30
203938,162,31
200130,1,25
201705,63,32
201770,19,33
201506,192,7
201524,40,34
207027,63,35
4064,21,36
202816,1,37
200828,1,31
203262,16,34
200681,9,38
202210,7,39
202062,6,28
200155,81,40
202836,23,41
204057,1,42
201230,6,41
205954,9,43
201585,166,44
201990,41,45
202887,16,34
200068,143,46
209758,1,47
200785,1,48
201283,63,49
7379,21,36
200893,61,50
203391,1,51
207700,192,39
201771,63,52
203389,57,53
203333,3,54
202886,19,55
201053,1,51
203804,213,7
202701,110,50
202151,17,56
205305,1,57
203483,162,58
204287,192,59
200031,30,60
201214,6,55
201505,9,61
204115,1,4
202139,18,62
203968,6,45
202994,3,63
202602,30,43
201414,57,64
203143,213,8
203243,1,65
204609,9,11
201335,34,20
202613,1,66
200807,1,51
202419,6,67
200696,4,34
200108,43,7
203355,117,68
202117,214,69
202204,192,28
205917,214,69
204602,1,70
205350,3,71
203335,16,47
204308,231,72
200758,22,46
204677,22,46
205312,63,1
206984,214,69
203849,198,73
203187,9,43
205741,34,47
203630,63,69
203455,10,74
202567,1,75
202382,81,69
200793,25,22
205461,63,1
203512,1,43
201322,192,76
203160,43,77
201114,192,67
202199,63,69
201407,1,28
200672,192,28
208831,1,78
201896,45,79
204264,3,80
204225,49,80
202482,9,58
202464,1,81
200732,192,46
208561,1,0
203380,192,83
200698,16,22
200664,45,22
200794,198,69
204415,30,84
207534,39,85
201872,43,62
204521,40,51
201139,1,86
200375,63,86
205933,1,87
202578,192,88
203634,216,22
201828,41,58
200783,9,55
202035,39,89
200560,1,90
204413,57,91
202289,120,59
202074,57,77
202788,1,92
206920,1,93
202461,118,74
205207,1,67
201570,213,18
204351,192,15
202351,22,94
204272,153,28
201340,193,92
204571,192,95
208477,1,96
200193,79,68
202764,45,54
206860,19,33
200625,1,42
200867,63,97
203468,1,98
200147,143,91
202797,192,99
205344,30,100
200688,17,56
204695,22,30
205168,63,14
200931,30,101
213893,14,37
206536,57,22
200479,45,102
214147,1,1
202348,9,7
200048,117,18
200403,1,59
202758,81,50
204244,1,1
201960,9,37
206581,138,103
205661,162,15
204994,57,104
208027,7,105
200477,1,57
205270,1,46
206599,63,59
204605,6,84
209019,19,58
203507,39,42
206675,58,106
208274,25,107
205535,57,76
204007,9,108
203497,213,54
204236,19,33
205876,1,28
204191,48,106
204441,43,51
206406,192,8
203254,1,109
206018,1,110
208957,1,111
200641,22,60
206414,243,28
205559,155,59
208033,63,25
5401,21,36
203050,216,59
208821,57,0
202477,143,84
206885,43,112
205078,192,34
4978,1,113
208354,6,107
205670,81,114
200949,1,115
4964,21,36
205109,9,43
205904,155,89
209896,9,90
203784,63,1
209050,2,116
201316,9,117
204637,41,22
207692,6,118
206418,1,112
201929,48,119
207669,44,120
209401,268,121
205491,17,16
203661,7,106
207968,1,39
207182,17,16
5026,1,122
210048,192,106
207068,192,112
200510,1,88
212461,192,51
4469,1,113
212906,9,91
207835,2,123
203883,41,124
200567,66,125
5245,1,113
203066,162,39
207360,49,126
206621,17,16
204178,1,91
209773,199,54
202780,2,127
206163,17,16
206943,192,60
210557,4,128
6955,1,122
210390,1,30
209544,155,39
209264,1,76
205481,43,42
201737,7,105
208492,1,105
206240,22,0
206239,1,128
206706,110,129
205030,1,130
200321,9,110
211303,43,7
202798,1,131
210599,6,128
206608,1,8
210461,213,132
207300,6,7
209266,48,133
203023,30,15
212723,6,134
208857,22,45
209813,63,77
211775,43,135
203423,56,136
209113,57,43
206021,1,115
210343,79,136
3504,21,36
207259,45,1
205603,192,137
210658,63,38
210055,9,91
207077,45,37
207563,25,22
214259,2,55
209020,22,56
208151,14,138
205386,22,30
208558,235,139
6465,1,113
209067,3,55
203413,1,91
209857,6,41
209348,22,16
206976,1,140
4090,1,113
201413,1,55
209394,1,141
4465,1,113
4091,1,113
207392,9,142
215844,22,143
213309,213,7
206794,216,46
212204,58,66
208170,78,6
203106,1,132
210876,1,144
209578,63,145
207269,19,1
209885,132,134
206460,22,16
209112,1,1
208038,81,93
210985,44,43
210886,1,146
206696,19,11
210368,192,51
209732,6,147
211137,158,148
208419,30,149
213445,1,77
206813,282,54
210796,216,1
208823,6,1
204392,9,66
211389,162,28
209343,18,150
210192,1,1
210408,9,67
209838,155,51
5960,21,36
209410,39,42
209947,1,24
213967,81,148
211739,174,151
213559,199,46
215869,192,95
212359,16,22
211306,2,152
208190,3,153
204943,192,132
202928,39,152
207184,165,154
211940,1,11
210982,117,155
212679,9,132
212703,1,76
211975,1,12
206981,1,48
235357,162,3
208602,162,156
210457,12,16
211995,45,67
213257,1,46
209932,81,157
209916,1,12
207681,22,120
209435,216,22
202785,155,113
5396,1,113
210415,39,81
211088,66,7
212711,1,158
210692,43,1
210690,61,159
210267,6,1
4344,1,113
203435,63,160
209447,69,161
207429,49,50
210238,16,135
214801,162,18
210889,4,11
210704,1,132
202876,117,28
211386,1,132
210073,192,162
209851,79,163
207937,39,4
210976,192,164
205252,216,15
216112,39,136
211580,214,1
209172,6,60
210380,192,15
211103,9,109
212452,44,120
210246,63,77
213201,205,143
207251,6,107
211721,1,107
206213,22,165
207838,12,16
212511,1,28
210104,22,59
212487,216,1
214142,9,14
206531,126,126
212230,9,58
212067,1,93
209658,1,27
207889,22,16
212403,12,16
213755,43,57
210162,1,166
211200,192,58
212010,61,167
212347,1,168
210803,162,60
215064,110,59
214003,41,45
210049,192,15
211438,9,45
209683,9,25
206834,110,94
216592,3,169
206975,1,84
213242,192,134
210005,22,170
213799,120,150
209542,49,80
211528,143,43
208658,43,134
210593,1,168
212653,3,168
7050,1,122
212532,1,168
215943,172,45
210501,39,14
214956,1,171
213200,199,68
216200,63,59
212070,22,59
206200,1,80
214522,3,168
212202,170,59
209309,1,172
214494,63,173
208638,44,120
212211,39,174
214067,291,163
212226,1,175
206849,120,1
207900,1,46
211248,66,1
208916,216,1
214455,192,7
214213,18,4
207142,63,173
208949,192,11
215663,63,176
211541,57,128
212709,1,1
213240,9,43
213986,2,1
208436,192,106
212224,7,106
214743,1,177
206606,7,106
213290,19,18
213781,12,178
211801,155,134
207181,63,174
209906,19,42
216087,1,25
6632,1,179
213612,19,134
216468,9,27
6634,1,36
213301,1,107
212377,63,1
211644,192,134
235384,195,107
6636,21,36
209116,170,14
207706,4,51
213882,1,1
213744,143,134
218293,63,1
213263,1,162
216541,9,7
213275,39,131
211601,9,180
214922,1,181
214932,7,95
211300,43,15
210006,192,182
207483,43,7
212708,192,132
210189,19,1
213499,6,20
212874,48,183
210166,192,3
212664,57,4
211688,1,1
208718,1,118
233331,172,1
209552,1,11
209931,192,34
213131,7,67
213540,7,184
210118,1,185
212863,155,106
233992,23,34
210661,48,133
212553,41,25
216878,40,41
211846,9,47
237326,23,7
212326,170,132
211845,48,4
204937,48,4
214469,192,60
218358,63,186
215731,25,107
214331,143,8
214687,78,187
213122,198,188
214837,6,0
213731,43,189
210631,1,12
214591,48,133
213876,1,11
7820,21,36
214310,44,190
215786,174,191
214785,1,189
210076,192,120
215968,45,162
213058,9,43
209671,192,140
214598,192,4
214941,1,50
213527,16,34
215315,19,192
213554,43,106
218269,174,193
215994,192,184
217233,39,178
215644,63,194
213568,7,108
208372,3,50
4906,21,36
215833,78,195
216154,216,106
212001,1,76
219948,1,128
210108,16,130
217022,49,126
213208,41,25
214643,1,196
214274,1,93
211297,9,7
217894,192,140
213711,151,197
216348,44,61
213461,39,47
214486,7,198
211863,6,199
4074,1,179
216448,231,200
215106,19,201
212482,49,202
212808,19,203
214170,1,204
212676,69,140
216980,192,42
214661,1,205
218715,1,27
215210,162,39
7848,1,113
214149,22,178
214940,1,206
4176,21,36
217176,1,96
216499,19,43
213772,132,124
214648,22,178
212657,214,69
216043,19,130
214466,58,47
215207,170,59
216706,19,100
217858,63,1
219329,19,62
218153,9,11
212488,155,207
213954,155,207
215492,174,62
217845,1,12
215101,1,28
219214,19,59
218066,2,59
216580,39,208
217586,7,46
214713,2,1
211239,1,1
219381,216,1
217827,192,83
211782,19,61
215847,48,81
219750,4,67
217430,22,16
212831,41,45
219593,1,112
217516,235,114
214529,43,42
218783,9,62
219302,9,62
216326,1,114
212538,9,1
216757,216,15
213608,39,47
213796,63,38
216083,39,47
216843,9,209
219064,151,161
213221,6,34
213537,12,16
215029,166,210
217441,1,162
213272,198,28
215484,120,59
212929,143,211
220601,1,212
208631,118,161
214298,4,1
211759,192,94
217103,9,91
215237,6,51
213899,12,16
218871,120,7
217128,12,213
219156,235,115
216603,1,214
211911,162,10
223045,117,215
213054,63,100
213405,172,43
212625,1,38
218502,45,124
217925,1,216
216382,192,62
218713,192,105
