aircraft_id,airline_id,aircraft_model
1,293,A-320
2,1,MD-82
3,2,C-172
4,3,B-737-800
5,4,CL-RJ900
6,5,B-757-200
7,6,B-737-700
8,7,A-330
9,8,CL-RJ100/200
10,9,DA-2000
11,10,B-757-200
12,11,B-717-200
13,12,B-757-200
14,13,A-310
15,14,CL-RJ100/200
16,15,B-737-500
17,16,DC-9-50
18,17,DC-9-40
19,18,EMB-145
20,19,EMB-145
21,20,B-52H
22,21,B-737-200
23,22,B-747-400
24,23,PA-46 MALIBU
25,24,A-300
26,25,DC-10-10
27,26,EMB-145
28,27,CL-RJ100/200
29,28,B-737-700
30,29,BE-1900
31,30,CITATIONJET
32,31,B-737-800
33,32,CL-RJ100/200
34,33,C-402
35,34,CL-RJ700
36,35,B-757-200
37,36,BE-99
38,37,CL-RJ100/200
39,39,DHC8 DASH 8
40,40,B-747-1/200
41,41,DC-9-30
42,42,DHC8 DASH 8
43,43,A-319
44,44,DORNIER 328
45,45,B-727-200
46,46,B-737-200
47,47,DHC8 DASH 8
48,48,EMB-120
49,49,PA-28
50,50,B-757-200
51,51,A-320
52,52,CL-RJ100/200
53,53,CL-RJ900
54,54,A-320
55,55,BE-1900
56,56,SHORTS 360
57,57,B-727
58,58,C-208
59,59,EMB-170
60,60,DHC8 DASH 8
61,61,PA-31 NAVAJO
62,62,DHC8 DASH 8
63,63,SAAB-340
64,64,A-319
65,65,GULFSTREAM V
66,66,B-777-200
67,67,A-380
68,68,B-747-400
69,69,C-210 CENTUR
70,70,DHC8 DASH 8
71,71,B-747-400
72,72,C-208
73,73,C-402
74,74,RAYTHEON 390
75,75,B-747-400
76,76,B-747-400
77,77,B-747-400
78,78,CL-600
79,79,BE-200 KING
80,80,A-318
81,81,C-560
82,82,DHC8 DASH 8
83,83,A-320
84,84,B-737-200
85,85,SAAB-340
86,86,B-727-200
87,87,BE-76  DUCHESS
88,88,SHORTS 360
89,89,CL-RJ100/200
90,90,BE-1900
91,91,DHC8 DASH 8
92,92,CL-RJ100/200
93,93,DC-9-30
94,94,CONVAIR 640
95,95,B-737-800
96,96,B-757-200
97,97,EMB-190
98,98,CL-RJ100/200
99,99,SHORTS 360
100,100,EMB-145
101,101,A-320
102,102,B-747-400
103,103,FOKKER 70
104,104,DHC6
105,105,BE-1900
106,106,EMB-170
107,107,B-757-200
