Airline_id,Airline_name
293,US AIRWAYS*
1,AMERICAN AIRLINES
2,BUSINESS
3,ALASKA AIRLINES
4,COMAIR AIRLINES
5,UNITED AIRLINES
6,AIRTRAN AIRWAYS
7,AIRTOURS INTL
8,AMERICA WEST AIRLINES
9,EXECUTIVE JET AVIATION
10,TRANS WORLD AIRLINES
11,HAWAIIAN AIR
12,DELTA AIR LINES
13,AIR TRANSAT
14,MESABA AIRLINES
15,CONTINENTAL AIRLINES
16,NORTHWEST AIRLINES
17,ABX AIR
18,AMERICAN EAGLE AIRLINES
19,EXPRESSJET (CONTINENTAL EXPRS)
20,MILITARY
21,ALOHA AIRLINES
22,ATLAS AIR
23,PRIVATELY OWNED
24,UPS AIRLINES
25,FEDEX EXPRESS
26,CHAUTAUQUA AIRLINES
27,ATLANTIC COAST AIRLINES
28,SOUTHWEST AIRLINES
29,GREAT LAKES AIRLINES
30,UNKNOWN
31,ATA AIRLINES
32,AIR WISCONSIN AIRLINES
33,CAPE AIR
34,ATLANTIC SOUTHEAST
35,TRANSMERIDIAN AIRLINES
36,AMERIFLIGHT
37,PINNACLE
38,
39,HORIZON AIR
40,EVERGREEN INTL AIRLINES
41,LEGEND AIRLINES
42,CCAIR
43,FRONTIER AIRLINES
44,SKYWAY AIRLINES
45,PAN AM
46,VANGUARD AIRLINES
47,ASTAR AIR CARGO
48,SKYWEST AIRLINES
49,GOVERNMENT
50,NATIONAL AIRLINES
51,AVIANCA
52,PSA AIRLINES
53,MESA AIRLINES
54,AIR CANADA
55,AIR MIDWEST
56,AIR CARGO CARRIERS
57,EMERY WORLDWIDE
58,MID-ATLANTIC FREIGHT
59,JETBLUE AIRWAYS
60,ALLEGHENYAIRLINES
61,BERING AIR
62,PIEDMONT AIRLINES
63,PENAIR
64,TACA INTL AIRLINES
65,EXECUTIVE JET MGMNT
66,BRITISH AIRWAYS
67,LUFTHANSA
68,JAPAN AIRLINES
69,FLIGHT EXPRESS
70,COMMUTAIR
71,POLAR AIR CARGO
72,CORPORATE AIR
73,ISLAND EXPRESS
74,FLIGHT OPTIONS
75,AIR NEW ZEALAND
76,KOREAN AIR
77,CHINA AIRLINES
