aiport_id,airport_name,origin_state
0,LAGUARDIA NY,New York
1,DALLAS/FORT WORTH INTL ARPT,Texas
2,LAKEFRONT AIRPORT,Louisiana
3,SEATTLE-TACOMA INTL,Washington
4,NORFOLK INTL,Virginia
5,GUAYAQUIL/S BOLIVAR,
6,NEW CASTLE COUNTY,Delaware
7,WASHINGTON DULLES INTL ARPT,DC
8,ATLANTA INTL,Georgia
9,ORLANDO SANFORD INTL AIRPORT,Florida
10,ONTARIO INTL ARPT,California
11,CHICAGO O'HARE INTL ARPT,Illinois
12,GROTON-NEW LONDON AR,Connecticut
13,SPIRIT OF ST LOUIS,Missouri
14,THEODORE FRANCIS GREEN STATE,Rhode Island
15,KANSAS CITY INTL,Missouri
16,LIHUE ARPT,Hawaii
17,PHOENIX SKY HARBOR,Arizona
18,NASHVILLE INTL,Tennessee
19,JIM HAMILTON L B OWENS ARPT,South Carolina
20,SOUTHWEST FLORIDA INTL ARPT,Florida
21,ABERDEEN REGIONAL AR,South Dakota
22,NEWARK LIBERTY INTL ARPT,New Jersey
23,ASPEN-PITKIN CO/SARD,Colorado
24,ROCHESTER INTL,Minnesota
25,MINNEAPOLIS-ST PAUL INTL,Minnesota
26,PUEBLO MEMORIAL ARPT,Colorado
27,WESTCHESTER COUNTY ARPT,New York
28,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama
29,TAHITI FAAA,
30,ORLANDO INTL,Florida
31,MYRTLE BEACH INTL,South Carolina
32,LAFAYETTE REGIONAL (LA),Louisiana
33,CLEVELAND-HOPKINS INTL ARPT,Ohio
34,SAN FRANCISCO INTL ARPT,California
35,CENTRAL WISCONSIN ARPT,Wisconsin
36,BARKSDALE AIR FORCE BASE ARPT,Louisiana
37,DETROIT METRO WAYNE COUNTY ARPT,Michigan
38,TOLEDO EXPRESS ARPT,Ohio
39,METRO OAKLAND INTL,California
40,BEVERLY MUNICIPAL ARPT,Massachusetts
41,TED STEVENS ANCHORAGE INTL,Alaska
42,CHARLOTTE/DOUGLAS INTL ARPT,North Carolina
43,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,Kentucky
44,GREATER PEORIA REGIONAL ARPT,Illinois
45,INDIANAPOLIS INTL,Indiana
46,LOUISVILLE INTL ARPT,Kentucky
47,PORTLAND INTL (OR),Oregon
48,STEWART INTL AIRPORT,New York
49,LOS ANGELES INTL,California
50,BURKE LAKEFRONT,Ohio
51,PHILADELPHIA INTL,Pennsylvania
52,CAPITAL CITY (MI),Michigan
53,CAPITAL (BEIJING),
54,PEASE INTL TRADEPORT,New Hampshire
55,SAVANNAH INTL,Georgia
56,HILO INTL ARPT,Hawaii
57,FORT LAUDERDALE/HOLLYWOOD INTL,Florida
58,DALLAS LOVE FIELD ARPT,Texas
59,LOGAN INTL,Massachusetts
60,DENVER INTL AIRPORT,Colorado
