record_id,altitude,wildlife_struck_actual,effect_impact,effect_damage,flight_date,phase_of_flight,conditions_sky,remains_collected,remains_sent,remarks,wildlife_id,warning,cost,injuries
202152,1,859,Engine Shut Down,Cause damage,11/23/2000,Climb,No Cloud,0,0,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",0,0,30736,0
208159,0,424,None,Cause damage,7/25/2001,Landing Roll,Some Cloud,0,0,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,1,1,0,0
207601,0,261,None,No damage,9/14/2001,Approach,No Cloud,0,0,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,2,0,0,0
215953,0,806,Precautionary Landing,No damage,9/5/2002,Climb,Some Cloud,0,0,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",2,1,0,0
219878,0,942,None,No damage,6/23/2003,Approach,No Cloud,0,0,NO DMG REPTD.,2,0,0,0
218432,0,537,None,No damage,7/24/2003,Take-off run,No Cloud,0,0,NO DMG. BIRD REMAINS ON F/O WINDSCREEN.,5,0,0,0
221697,0,227,Other,Cause damage,8/17/2003,Climb,No Cloud,0,0,,2,0,1481711,0
236635,0,320,Other,Cause damage,3/1/2006,Approach,Some Cloud,0,0,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",2,1,1483141,0
207369,0,9,Aborted Take-off,No damage,1/6/2000,Take-off run,Some Cloud,0,0,,1,0,0,0
204371,0,4,None,No damage,1/7/2000,Landing Roll,Some Cloud,0,0,FLT 057,5,0,0,0
201589,0,3,None,No damage,1/8/2000,Approach,Some Cloud,0,0,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",1,0,0,0
205958,1,9,None,Cause damage,1/20/2000,Approach,No Cloud,0,0,"JUST OUTSIDE OF WILLT ON VISUAL APCH, WE FLEW THRU A FLOCK OF  GEESE. WE HIT AT LEAST 1, HEARD THE SOUND. RT WING SUFFERED  SIGNIFICANTLY MORE DMG THAN L WING. (L. SCHAFER, WS DID NOT KNOW  ABOUT THIS STRIKE). ALSO SAW EVIDENCE OF STRIKE AROUND THE R ENG",11,0,0,0
200220,0,2,None,No damage,1/30/2000,Landing Roll,Overcast,0,0,,5,0,0,0
200219,1,2,None,No damage,1/30/2000,Approach,Overcast,0,0,HIT FLAP,5,0,0,0
203756,0,5,None,No damage,1/30/2000,Approach,No Cloud,0,0,FLT 2634. PILOT STATED HE HEARD 3 SMALL HITS & DIDN'T BELIEVE  THERE WAS ANY DAMAGE.,2,0,0,0
204061,0,5,None,No damage,2/1/2000,Approach,Some Cloud,0,0,"BIRD ID BY DAN, WS MO. 3/17/00.  FLT 345",15,1,0,0
202604,0,9,None,No damage,2/11/2000,Take-off run,No Cloud,0,0,FLT 138.,16,1,0,0
201044,0,9,None,No damage,2/12/2000,Landing Roll,Overcast,0,0,5 BIRD REMOVED FROM RWY 8L/26R AT A-2 INSN,1,0,0,0
202254,0,5,None,No damage,2/18/2000,Climb,Some Cloud,0,0,"SML, STARLING TYPE BIRDS HIT F/O WINDSHLD & UNDERSIDE OF RADOME",2,0,0,0
205346,0,6,None,Cause damage,2/23/2000,Climb,Some Cloud,0,0,"LE RT WING DENTED, BASEBALL SIZE.",1,0,0,0
201610,1,7,None,No damage,2/25/2000,Climb,Overcast,0,0,FLT 580 ORD-MBS,0,0,0,0
202454,1,7,Precautionary Landing,No damage,2/29/2000,Climb,No Cloud,0,0,FLT 2307 INGESTED A BIRD. SMELL OF BURNING IN COCKPIT.BIRD ID BY  WS BIOL.  ONE REPT SAYS BIRD WAS STUCK IN THE FLAP. A/C LEFT 2  HRS LATER AFTER INSPN.,21,1,0,0
201013,0,4,None,No damage,2/29/2000,Landing Roll,Some Cloud,0,0,FLT 522,22,1,0,0
205771,1,8,None,No damage,3/4/2000,Climb,Some Cloud,0,0,HEARD 2 THUMPS. FOUND STRIKES ON POST FLT INSPN. TIME LOST 30  MINS.,5,0,0,0
